Date,Author,Comment
2024-03-10,babymelll,"Material:very nice😍
Durability:good

Cantek sangat sukaaa design dia 😍 thankyouu seller"
2023-11-10,mazatul762,Alhamdulillah barang sampai dgn selamat.. penghantaran pantas... bungkusan kemas..beg cantik...
2023-10-31,m*****5,good quality in fast delivery ，tq so much for the service
2024-02-25,ansnadiaa_,"Durability:okeyy
Material:hmm leather mybe

Fast deliveryy, so cntikkk i loikeee, ♥️♥️"
2023-11-29,roslizaghazali81,"Durability:good
Material:good

Suka sangat. Beg comel.hehe. dapat discount rm25 je free postage. Repeat lagi pattern lain. Cantik2. Tq seller. Recommended. Tq tq t"
2024-01-25,l*****y,ingatkan keras… tapi sikit je… tapi packaging mmg lawa… macam kat butik… bolehlah harga dia pun affordable…kalau keras lagi sng nak hempuk muka lelaki yg tk guna kat luar sana
2024-03-03,k*****g,"Simple beg
Tak tebal so bila kepit bwh lengan, still selesa
Tali boleh laras
Ok la.. dpt grab rm27..  
Penghantaran lazuuu
Tp tali panjang takdo ya"
2023-11-25,bellaclarissaf,"Durability:not sure
Material:good

Worth to buy. The bag is cute."
2024-02-23,a*****h,"Lawa sgt2 design beg ni. Simple but nice! Mind you, beg ni xde kotak ye, so mungkin akan ada kesan garisan ckit (bertindih dgn brg2 lain), based on your luck. Mine punya ada kesan ckit kt depan, but it's okay, i like it anyway 😁 Rasa nk repeat warna lain plk 🤭"
2023-12-06,a*****_,SANGAT CANTIK YAAAAAA tapi tulah packaging dia tak secure sangat sebab ada la kemek sikit sikit 🥲 tapi tak apalah memang lawa. Delivery pun laju betull hihik suka suka nak repeat design lain pulak sebab design dia semua lawo lawooooo
2023-11-19,sitibal94,"Material:smooth

thank u so much seller.. discuss before the exchange the color because the bag that i want was out of stock🫠 this color apricot also nice🥰really appreciate it"
2023-10-19,t*****i,"Durability:not sure tahan lama ke tak
Material:boleh laa utk ootd.

Size beg pun okay. Jahitan kemas. Beli time sale"
2024-02-19,wanwanliah1991,"Durability:good
Material:leader

Alhamdulillah brng d trima dlm keadaan slmt&baik,beg sgt cntik sya suka sgt""next blh repeat oder,tq seller&abg JNT👍👍"
2024-01-12,hapizhalim,"Material:ok

Penghantaran cepat, brg sampai dgn slmt, cantik puas hati. Tq seller"
2023-11-03,_*****_,"Material:cantik sangat
Durability:love betul

Barang sampai sudah sangat saya suka nnti saya order lagi terima kasih seller🥰🫶🏻"
2023-12-18,syahirakasim,"Material:tak nampak murah
Durability:worth the price

better pakai dompet kecik or card holder untuk pakai beg ni.. cantik untuk jalan2.."
2023-12-03,ojak_jk01,"Durability:sampai sama dengan di gambar
Material:pu

Barang banyak bagus . I like it"
2024-01-10,momoyls,"Material:Leather but not sure how long can it be used

memang puas hati gila. detail semuaa cun sampai dekat zip tu pun ada nama brand kena letak, beg tersangat2 cute really recommended if u wanna try any shoulder bag 😭❤️❤️❤️❤️❤️"
2023-10-30,f*****0,Padu n menarik  barang sangat cntik dan sangat disukai wife  penghantaran slow sedikit
2024-01-01,n*****y,"Durability:Good
Material:Sturdy leather

Thank you seller, fast delivery 🥺
Lurve this bag ❤️❤️❤️"
2024-01-20,y_mii,"bag cantikk !! harga pun murah high quality , memang sesuai laa pakai time raya nantii"
2023-12-07,d*****n,"Maaf lambat rate, busy sangat kerja. Penghantaran pantas beg sampai dalam keadaan yang baik. Berbaloi beli cute jee 😍🥰😘"
2023-12-31,i*****a,"Material:strong stretch
Durability:good

Really cute amazing and nice bag to usee"
2023-10-30,aliaaaaqueenn,"Durability:9/10
Material:kulit

Beg nim sumpah cantik 😍 material dia pun nice 👍🏻 cumanya warna dia tu tak sama tau mcm dalam gmbr , die lain sikit but overall beg nim cantik 😘"
2024-01-10,s*****7,"Material:lembut
Durability:mgkin tahan lasak

cantik. xbyk zip. bini suka.. alhamdulillah"
2024-03-02,h*****a,"bag is okay, affordable price yea okay sorry pic not related okay"
2024-01-18,missghost_,Warna bukan putih cerah tp lebih kepada cream lmbut..tak dapat dalam kotak walaupun da request slmat beg okay mak kata.
2023-11-20,norsara12,"Bag sangat lawa, cuma packaging teruk, bag sampai dalam keadaan kemek. Bag jadi tidak lawa cantik. Mohon upgrade untuk packaging."
2023-11-05,n*****m,"Durability:Good
Material:Good

Sesuai dengan dia punya harga, cantik. Seller pn pos cepat je, overall I'm satisfied."
2023-11-17,aniya02.m,"Love the service, love the design. Order 3 hari dah smpai. Love the quality. Recommended sgt². ISTG tk rugi beli."
2024-01-09,n*****_,"Material:TERBAIK
Durability:TERBAIK

TERIMA KASIH SELLER , BEG CANTIK . PENGHANTARAN PUN LAJU @ KEMAS 🌸"
2024-03-12,abdul_razak_ishak,"Durability:good
Material:good

Good quality and nice to give for birthday present"
2024-03-03,f*****2,Received well. Fast delivery. Good Packaging and Products. Thank you seller.
2023-12-06,sorfyar,"OMGGGG I LOVE IT SO MUCHHHH, THANK YOU SELLER !! GOOD SERVICE AND FAST DELIVERY !! MIGHT REPEAT AGAIN ♡♡♡"
2024-03-15,a*****h,"Material:good
Durability:good

Sorry gmbr takde kene mengena sbb beli as hadiah untuk orang lain"
2024-01-03,ofzl57pacs,"Fast deliveryy😍😍barang pun cantik sgt sgt, takdalat ambik gambar sebab buat bagi gift ke kawan🥰"
2024-01-18,razisz994,"Material:leather
Durability:strong

Cute ! The zipper and the quality are good 👍🏻 thankyou seller!"
2023-11-06,shahaidil74,penghantaran sgt pantas dan selamat diterima dalam keadaan baik. tq seller
2024-02-20,muhammadriduansamsudin87,beg cntik sngt wlaupun hrge murah tp kualiti nmpak mahal
2023-12-01,c*****m,"Product received in good condition 
Packaging is good
Good value"
2024-02-20,p*****n,"Material:nice terokkk
Durability:tak pasti tp nmpk mcm tahan lama

nice terok gaiss belilahh, i rasa nak beli lagi colour lain. putihnya tak oure white pun, mcm off white gituu, mak lurve. tp kalau pure putih pun mak lurve. senang cerita semua mak lurvee gituuu 🫶🫶 cuma j&t ni kan haihh beg tu bukan dalam kotak, dia pi sumbat dalam letter box yg kecik tu. nasib baik tak rosak beg tu 😭 makasih ya seller. nnt nak repeat lg lah dgn harapan j&t tak buat benda sama 😭"
2023-12-04,izzyjeon,"Durability:seems strong
Material:pvc

Ok what the hell.. it look waaaaayyyyy better than in picture!! Im in love honestly. I wanted to give this bag as a present but now i might want to keep it for myself❤️❤️❤️"
2023-12-29,samhassan,"Wahhhh ❤️‍🔥. Sangat cute, sangat suka design begini even dah dekat 4 siri tapi nampak sangat sesuai. Muat long wallet, ippromax, key, tapi nak masukkan banyak barang is limited."
2024-01-24,a*****3,"Material:pu leather
Durability:durability

Lawaa , nampak elegent , sesuai buat pakai harian , beli time live dapat lagi murah , seller baik"
2024-03-14,a*****h,"Durability:10/10
Material:hard skin

well i love the texture and everything about it, simple but elegant thats what im looking for"
